Car_id,Date,Customer Name,Gender,Annual Income,Price ($)
1,01-02-2022,Geraldine,Male,13500,26000
2,01-02-2022,Gia,Male,1480000,19000
3,01-02-2022,Gianna,Male,1035000,31500
4,01-02-2022,Giselle,Male,13500,14000
5,01-02-2022,Grace,Male,1465000,24500
6,01-02-2022,Guadalupe,Male,850000,12000
7,01-02-2022,Hailey,Male,1600000,14000
8,01-02-2022,Graham,Male,13500,42000
9,01-02-2022,Naomi,Male,815000,82000
10,01-02-2022,Grayson,Female,13500,15000
11,01-02-2022,Gregory,Male,13500,31000
12,01-02-2022,Amar'E,Male,13500,46000
13,01-02-2022,Griffin,Male,885000,9000
14,01-02-2022,Harrison,Male,13500,15000
15,01-02-2022,Zainab,Male,722000,26000
16,01-02-2022,Zara,Male,746000,17000
17,01-02-2022,Zoe,Female,535000,18000
18,01-02-2022,Zoey,Female,570000,31000
19,01-02-2022,Aaliyah,Male,685000,33000
20,01-02-2022,Abigail,Male,455000,21000
21,01-02-2022,Adrianna,Male,13500,25000
22,01-02-2022,Joshua,Male,2500000,21000
23,01-02-2022,Marcus,Male,585000,12000
24,01-02-2022,Arthur,Male,920000,18000
25,01-02-2022,Lizzie,Male,672000,22000
26,01-02-2022,Florian,Male,801250,31250
27,01-02-2022,Cassandre,Female,820000,19000
28,01-02-2022,Syrielle,Male,791000,41000
29,01-02-2022,Sloane,Male,13500,41000
30,01-02-2022,Sofia,Male,1020000,13000
31,01-02-2022,Sophia,Male,210000,20000
32,01-02-2022,Sophie,Male,750000,14000
33,01-02-2022,Stella,Male,635000,19000
34,01-02-2022,Suri,Male,675000,43000
35,01-02-2022,Sury,Male,880000,16000
36,01-03-2022,Haley,Male,13500,42000
37,01-03-2022,Hannah,Male,13500,21000
38,01-03-2022,Haylee,Male,13500,61000
39,01-03-2022,Hayley,Male,941000,39000
40,01-03-2022,Harry,Female,13500,16000
41,01-03-2022,Henry,Male,13500,26000
42,01-03-2022,Hersh,Female,13500,21000
43,01-03-2022,Hershel,Male,967500,42500
44,01-03-2022,Aicha,Male,600000,45001
